DATE,RVI,RMSE,INCIDENCE,ELEVATION,DIRECTION,DLAT,DLON,DX,DY,ZIPFILE,RVIC
2019-07-11,2.025446165841969,0.0196832230541157,45.27927127650157,39.81281205102176,-1,-0.2263876994268425,-1.0923590641136371,11270.5,5024.0,S1A_IW_GRDH_1SDV_20190711T085905_20190711T085930_028067_032B75_E8FA.zip,2.028706647266233
2019-07-16,2.032985688914061,0.0237454516337607,31.96388507006111,28.49223469053006,-1,0.2349970455477619,1.0648523934003862,-10927.0,-5014.0,S1A_IW_GRDH_1SDV_20190716T090727_20190716T090752_028140_032DAE_1202.zip,2.0290252923920034
2019-07-23,2.023280080754453,0.0190899944231793,45.27637131128358,39.8105175842538,-1,-0.2264569808784289,-1.0915514148112493,11261.0,5024.0,S1A_IW_GRDH_1SDV_20190723T085906_20190723T085931_028242_0330BE_3C25.zip,2.0280650231699227
2019-07-28,2.0303839160740464,0.0225729899257811,31.962838809123078,28.49138665256625,-1,0.2348643167598263,1.0652016037657148,-10936.5,-5014.0,S1A_IW_GRDH_1SDV_20190728T090727_20190728T090752_028315_033305_198F.zip,2.027635063583447
2019-08-04,2.023283842259258,0.0189118774118224,45.27897408223388,39.812709465066185,-1,-0.2263113228993925,-1.091836477951233,11266.0,5024.0,S1A_IW_GRDH_1SDV_20190804T085906_20190804T085931_028417_033615_9055.zip,2.027318542599751
2019-08-09,2.0299981041043056,0.0226361953715667,31.957443404999687,28.486622438971548,-1,0.2349260027351176,1.0655618000988625,-10936.0,-5014.0,S1A_IW_GRDH_1SDV_20190809T090728_20190809T090753_028490_03386D_AA19.zip,2.0270670462635376
2019-08-16,2.0242295711953946,0.0191768590431428,45.27610784630596,39.81025366348433,-1,-0.2262662980030514,-1.0915636046365762,11260.5,5019.0,S1A_IW_GRDH_1SDV_20190816T085907_20190816T085932_028592_033BEB_CA81.zip,2.027192114647186
2019-08-21,2.028962175253552,0.0224357346893802,31.95875686682849,28.4878117248924,-1,0.2349319904297218,1.0655619131107414,-10935.5,-5014.0,S1A_IW_GRDH_1SDV_20190821T090729_20190821T090754_028665_033E86_91F6.zip,2.0267063920725317
2019-08-28,2.023585018327028,0.0190688172568455,45.27887719245251,39.81262980058351,-1,-0.2262774468750858,-1.0918115661850152,11266.0,5019.0,S1A_IW_GRDH_1SDV_20190828T085908_20190828T085933_028767_03420B_D759.zip,2.0267055008353743
2019-09-02,2.029676108823864,0.0226063265802147,31.964741965938263,28.493023694721384,-1,0.2349785726115145,1.0648825543767728,-10926.5,-5014.0,S1A_IW_GRDH_1SDV_20190902T090729_20190902T090754_028840_03449E_AB44.zip,2.0265034358159726
2019-09-09,2.023842453678807,0.0191504929504396,45.276476198578266,39.810629509400464,-1,-0.2263653425277381,-1.0914647953974637,11261.0,5019.5,S1A_IW_GRDH_1SDV_20190909T085908_20190909T085933_028942_034821_F3DE.zip,2.0266660123631963
2019-09-21,2.0240584124056267,0.0194290937149482,45.27465663550083,39.809009595748485,-1,-0.2263670327027442,-1.0914965933677363,11260.5,5019.0,S1A_IW_GRDH_1SDV_20190921T085909_20190921T085934_029117_034E1F_F4AE.zip,2.026837280045942
2019-09-26,2.0287632416827037,0.0226425821883003,31.95828146013335,28.48735624146018,-1,0.2350036874487058,1.0654391888896697,-10935.5,-5014.0,S1A_IW_GRDH_1SDV_20190926T090730_20190926T090755_029190_0350A3_3066.zip,2.0264294714144073
2019-10-03,2.026023820729785,0.0214571479497803,45.27091328562617,39.80599675191271,-1,-0.2264291345272591,-1.0906123790009443,11251.0,5014.0,S1A_IW_GRDH_1SDV_20191003T085909_20191003T085934_029292_03541F_113D.zip,2.027157918513303
2019-10-08,2.0325486352951905,0.0243584772476733,31.96254200972896,28.49111885132454,-1,0.2348678371188448,1.0650857308478408,-10935.0,-5014.0,S1A_IW_GRDH_1SDV_20191008T090731_20191008T090756_029365_0356AD_B4F6.zip,2.027629301538406
2019-10-15,2.0259837971738754,0.0211808016835778,45.28030647552031,39.81376963421571,-1,-0.2263694929036868,-1.0922803368532712,11271.5,5024.0,S1A_IW_GRDH_1SDV_20191015T085909_20191015T085934_029467_035A30_8BDA.zip,2.0280301127713223
2019-11-01,2.0333704077564345,0.0238771344955124,31.961020275200383,28.489852677137616,-1,0.2349196699598916,1.0655102418285338,-10934.5,-5014.0,S1A_IW_GRDH_1SDV_20191101T090731_20191101T090756_029715_0362D1_5326.zip,2.0284830105917355
2019-11-08,2.027258644438678,0.0200382002059372,45.27607224459643,39.81034805035748,-1,-0.226434079797138,-1.0913259338446366,11262.0,5024.0,S1A_IW_GRDH_1SDV_20191108T085909_20191108T085934_029817_036664_17FD.zip,2.0290543370910474
2019-11-13,2.033898406593813,0.0246500596930205,31.961399156531623,28.490161281593515,-1,0.23497183927961,1.0653636766907937,-10934.5,-5014.0,S1A_IW_GRDH_1SDV_20191113T090731_20191113T090756_029890_0368F5_4AA4.zip,2.0293811560148076
2019-11-20,2.0267905961580586,0.0200657031321892,45.27526450577309,39.80968621465378,-1,-0.2264958969474593,-1.0911808752030865,11262.0,5024.0,S1A_IW_GRDH_1SDV_20191120T085909_20191120T085934_029992_036C73_9740.zip,2.029608433861233
2019-11-25,2.0344676573929297,0.0240084967080736,31.965312178869848,28.493577570346112,-1,0.2349288180712507,1.0649521433257831,-10925.0,-5014.0,S1A_IW_GRDH_1SDV_20191125T090730_20191125T090755_030065_036F06_828C.zip,2.0298815968454154
